hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1116,697.6737430000001,0,120.0,1.8600612931543987,0.0,575.8136817068457,0.0,0.0,1,idle,0,0.29370629370629375,0.13370629370629375,0.4011188811188813,14.012765945693785,1,1047374.5707417232,386.685314685315,1.9769039454055082,10,0,0,0,0
1117,724.737389,0,120.0,0.1391154628248321,0.0,606.2676590910731,0.0,1.669385553897985,0,discharge,0,0.29370629370629375,0.01,0.03,1.0480259049342107,1,1046893.2280843805,0.0,1.9769039454055082,10,0,0,0,0
1118,678.405901,0,120.0,2.0867319423724813,0.0,554.4694343718679,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.15,0.45,15.720388574013159,1,1046857.2280843805,949.3426573426575,0.21965599393394536,10,0,0,0,0
1119,538.645025,0,120.0,1.8600612931543987,0.0,418.45434926074364,0.0,1.669385553897985,0,discharge,0,0.29370629370629375,0.13370629370629375,0.4011188811188813,14.012765945693785,1,1046317.2280843805,386.685314685315,1.9769039454055082,10,0,0,0,0
1120,374.513569,0,120.0,0.1391154628248321,0.0,252.52471885141568,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.01,0.03,1.0480259049342107,1,1045835.8854270378,0.0,0.21965599393394536,10,0,0,0,0
1121,171.157791,0,120.0,0.6279569333788493,0.0,50.529834066621135,0.0,0.0,0,idle,0,0.29370629370629375,0.04513926206532083,0.1354177861959625,4.730711597407035,1,1045799.8854270378,949.3426573426575,1.9769039454055082,10,0,0,0,0
1122,0.5190990000000001,0,0.379983537175168,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.0009300296364427189,0.01,0.03,1.0480259049342107,1,1045637.3840836027,1519.18128437985,1.9769039454055082,10,0,0,0,0
1123,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045601.3840836027,1414.5293910710438,1.9769039454055082,10,0,0,0,0
1124,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045565.3840836027,1306.5293910710438,1.8304666161162113,10,0,0,0,0
1125,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045529.3840836027,1198.5293910710438,1.6840292868269144,10,0,0,0,0
1126,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045493.3840836027,1090.5293910710438,1.5375919575376176,10,0,0,0,0
1127,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.13911546282483225,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045457.3840836027,982.529391071044,1.3911546282483207,10,0,0,0,0
1128,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045421.3840836027,874.529391071044,1.2447172989590236,10,0,0,0,0
1129,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045385.3840836027,766.529391071044,1.0982799696697267,10,0,0,0,0
1130,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045349.3840836027,658.529391071044,0.9518426403804299,10,0,0,0,0
1131,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045313.3840836027,550.529391071044,0.805405311091133,10,0,0,0,0
1132,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045277.3840836027,442.52939107104396,0.6589679818018361,10,0,0,0,0
1133,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045241.3840836027,334.52939107104396,0.5125306525125393,10,0,0,0,0
1134,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1045205.3840836027,226.52939107104396,0.3660933232232423,10,0,0,0,0
1135,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1045169.3840836027,118.52939107104397,0.21965599393394536,10,0,0,0,0
1136,11.201255999999999,0,11.062140537175168,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.02707516914693223,0.01,0.03,1.0480259049342107,1,1045133.3840836027,10.529391071043975,0.21965599393394536,10,0,0,0,0
1137,42.417379999999994,0,41.94135624362088,0.4760237563791067,0.0,0.0,0.0,0.0,1,idle,0,0.10265366912774343,0.03421788970924781,0.10265366912774343,3.5861234827473445,1,1045097.3840836027,0.0,0.21965599393394536,10,0,0,0,0
1138,116.04288700000001,0,114.74061017453798,1.3022768254620212,0.0,0.0,0.0,0.0,1,idle,0,0.28083366126635173,0.09361122042211724,0.28083366126635173,9.810698399488528,1,1044974.1996806494,0.0,0.21965599393394536,10,0,0,0,0
1139,59.467266,0,59.32815053717517,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.14520876005602315,0.01,0.03,1.0480259049342107,1,1044637.1992871298,0.0,0.21965599393394536,10,0,0,0,0
1140,108.74585,0,108.60673453717517,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.26582067893714206,0.01,0.03,1.0480259049342107,1,1044601.1992871298,414.7515362016834,0.21965599393394536,10,0,0,0,0
1141,147.37670300000002,0,120.0,2.0867319423724813,0.0,23.440236371867986,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.15,0.45,15.720388574013159,1,1044565.1992871298,1263.7059803753948,0.21965599393394536,10,0,0,0,0
1142,114.73276,0,113.57303484402024,1.159725155979749,0.0,0.0,0.0,0.0,1,idle,0,0.27797595940844116,0.08336421648828661,0.2500926494648598,8.736785842426801,1,1044025.1992871298,701.0486377180523,1.9769039454055082,10,0,0,0,0
1143,90.974504,0,90.83538853717516,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.22232437753854062,0.01,0.03,1.0480259049342107,1,1043725.0881077719,801.4285535149451,1.9769039454055082,10,0,0,0,0
1144,19.396811000000003,0,19.25769553717517,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.047134219846232936,0.01,0.03,1.0480259049342107,1,1043689.0881077719,1493.7963126536913,1.9769039454055082,10,0,0,0,0
1145,18.089731,0,17.950615537175167,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.04393507299308608,0.01,0.03,1.0480259049342107,1,1043653.0881077719,1555.4795041001298,1.9769039454055082,10,0,0,0,0
1146,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043617.0881077719,1605.6457668752398,1.9769039454055082,10,0,0,0,0
1147,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.13911546282483225,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043581.0881077719,1497.6457668752398,1.8304666161162113,10,0,0,0,0
1148,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043545.0881077719,1389.6457668752398,1.6840292868269142,10,0,0,0,0
1149,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043509.0881077719,1281.6457668752398,1.5375919575376173,10,0,0,0,0
1150,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043473.0881077719,1173.6457668752398,1.3911546282483205,10,0,0,0,0
1151,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043437.0881077719,1065.6457668752398,1.2447172989590236,10,0,0,0,0
1152,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043401.0881077719,957.6457668752398,1.0982799696697267,10,0,0,0,0
1153,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043365.0881077719,849.6457668752398,0.9518426403804299,10,0,0,0,0
1154,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043329.0881077719,741.6457668752398,0.805405311091133,10,0,0,0,0
1155,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1043293.0881077719,633.6457668752398,0.6589679818018361,10,0,0,0,0
1156,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043257.0881077719,525.6457668752398,0.6589679818018361,10,0,0,0,0
1157,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043221.0881077719,417.64576687523976,0.5125306525125393,10,0,0,0,0
1158,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1043185.0881077719,309.64576687523976,0.3660933232232423,10,0,0,0,0
1159,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1043149.0881077719,201.64576687523976,0.21965599393394536,10,0,0,0,0
1160,1.768207,0,1.629091537175168,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.003987286979100062,0.01,0.03,1.0480259049342107,1,1043113.0881077719,93.64576687523977,0.21965599393394536,10,0,0,0,0
1161,12.849038,0,12.709922537175169,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.0311082020140651,0.01,0.03,1.0480259049342107,1,1043077.0881077719,0.0,0.21965599393394536,10,0,0,0,0
1162,25.311892,0,25.172776537175167,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.06161169082525391,0.01,0.03,1.0480259049342107,1,1043041.0881077719,3.9895272506343673,0.21965599393394536,10,0,0,0,0
1163,33.573301,0,33.43418553717517,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.08183192264343574,0.01,0.03,1.0480259049342107,1,1043005.0881077719,117.79161422154844,0.21965599393394536,10,0,0,0,0
1164,39.378065,0,39.238949537175166,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.09603938697910007,0.01,0.03,1.0480259049342107,1,1042969.0881077719,304.3865357379171,0.21965599393394536,10,0,0,0,0
